,videoId,publishedAt,title,tags,duration,viewCount,likeCount,commentCount
10,CGEkJ6k0kec,2023-06-13T15:43:34Z,"BEST Premier League goals of 2022/23 ft. Kevin De Bruyne, Son Heung-min & more! | Part 1","['best Premier League goals', 'best epl goals', '2022/23', 'best goals', 'best goals 2022/23', '2023', 'best Premier League goals 2022/23', 'football', 'soccer', 'best football goals 2022/23', 'best soccer goals 2022/23', 'Premier League goals', 'epl goals', 'Premier League goals highlights', 'epl highlights', 'goals', 'highlights', 'Kevin De Bruyne', 'Man City', 'Manchester City', 'Son Heung-min', 'Gabriel Jesus', 'Arsenal', 'Miguel Almiron', 'Newcastle', 'Jadon Sancho', 'Manchester United', 'Declan Rice', 'Wilfried Zaha', 'De Bruyne', 'Prem']",PT24M37S,496488,6786,291
11,OuCYFysMgzA,2023-06-13T11:02:41Z,Erling Haaland names his ULTIMATE Premier League goal for Man City,"['Erling Haaland', 'Haaland', 'Man City', 'Manchester City', 'Erling Haaland goals', 'Haaland goals', 'Man City goals', 'Manchester City goals', 'Ultimates', 'ultimate', 'best goals', 'Erling Haaland highlights', 'Haaland highlights', 'Man City highlights', 'Manchester City highlights', 'Premier League', 'epl', 'Premier League goals', 'Premier League highlights', 'epl goals', 'epl highlights', 'goals', 'highlights', 'best Erling Haaland goals', 'best Haaland goals', '2022/23', 'football', 'soccer', 'Arsenal', 'Manchester United', 'Man United', 'PL']",PT8M44S,72082,2316,125
12,9z7k5mQ_Ntw,2023-06-13T09:47:32Z,When Erling Haaland let his hair down! #shorts,"['Erling Haaland', 'Haaland', 'Man City', 'Manchester City', 'Arsenal', 'Erling Haaland goals', 'Haaland goals', 'Erling Haaland Man City', 'Haaland Man City', 'goals', 'Man City highlights', 'Manchester City goals', 'Manchester City highlights', 'Erling Haaland hair down', 'football', 'soccer', 'Premier League', 'epl', 'Premier League goals', 'epl goals', 'Premier League highlights', 'epl highlights', 'short', 'shorts', '#shorts', 'TikTok', 'football TikTok', 'soccer TikTok', 'football shorts', 'soccer shorts', 'football short', 'soccer short']",PT15S,296387,10969,75
13,o4FAgBMmH7w,2023-06-12T15:01:28Z,BEST Premier League Match 22/23 - Voted By Fans | Newcastle 6-1 Spurs | Highlights,"['best match', 'best Premier League match', 'best epl match', 'Newcastle 6-1 Spurs', 'Newcastle 6-1 Tottenham', 'Newcastle', 'Newcastle United', 'Tottenham Hotspur', 'Tottenham', 'Spurs', 'highlights', 'match highlights', 'Newcastle highlights', 'Tottenham highlights', 'Spurs highlights', 'Premier League', 'epl', 'Premier League goals', 'Premier League highlights', 'epl goals', 'epl highlights', 'goal', 'Jacob Murphy', 'Joelinton', 'Alexander Isak', 'Harry Kane', 'Callum Wilson', 'football', 'soccer', 'football highlights', 'soccer highlights']",PT7M12S,124317,3455,355
14,P0YOcn8rQhY,2023-06-12T13:00:30Z,Watkins + Rashford = Watford?! 😅  #shorts,"['premier league', 'premier league general knowledge', 'premier league quiz', 'premier league wrapped', 'pl', 'pl wrapped', 'elz the witch', 'mk fray', 'ben black', 'ish everything', 'alexbee official', 'premier league 2022/23', 'shorts', 'shorts video', 'shorts feed', 'shorts youtube', 'football', 'soccer', 'goals', 'premier league top scorers']",PT15S,94484,3362,25
15,E2AncYx0TBo,2023-06-12T11:01:39Z,The Hazard dribble. The Fabregas assist. The Chelsea goal!,"['Hazard dribble', 'Fabregas assist', 'Chelsea goal', 'Eden Hazard dribble', 'Cesc Fabregas assist', 'assist', 'assists', 'dribble', 'dribbles', 'Eden Hazard', 'Hazard', 'Cesc Fabregas', 'Fabregas', 'Andre Schurrle', 'Schurrle', 'Chelsea goals', 'Chelsea highlights', 'goals', 'highlights', 'football', 'soccer', 'Premier League', 'epl', 'Premier League goals', 'epl goals', 'Premier League highlights', 'epl highlights', 'short', 'shorts', '#shorts', 'TikTok', 'football TikTok', 'soccer TikTok', 'football shorts', 'soccer shorts', 'football short', 'soccer short', 'PL']",PT14S,422074,12470,77
16,JlQ0o1OkrUo,2023-06-11T08:01:00Z,Fantastic first touch & finish from Havertz!,"['Kai Havertz', 'Havertz', 'Chelsea', 'Newcastle', 'Kai Havertz Chelsea', 'Havertz Chelsea', 'Kai Havertz goal', 'Havertz goal', 'Chelsea goal', 'Chelsea goals', 'Chelsea highlights', 'Newcastle highlights', 'first touch', 'touch', 'fantastic', 'finish', 'goals', 'highlights', 'football', 'soccer', 'Premier League', 'epl', 'Premier League goals', 'epl goals', 'Premier League highlights', 'epl highlights', 'short', 'shorts', '#shorts', 'TikTok', 'football TikTok', 'soccer TikTok', 'football shorts', 'soccer shorts', 'football short', 'soccer short', 'skills', 'Prem']",PT11S,822596,27455,128
17,eY7ZgWZ0fH8,2023-06-10T08:01:00Z,Magnificent Man City move! #shorts,"['Man City move', 'Man City goal', 'Raheem Sterling', 'Raheem Sterling goal', 'Sterling goal', 'magnificent', 'Man City', 'Manchester City', 'Man City goals', 'Man City highlights', 'Manchester City goals', 'Manchester City highlights', 'Bournemouth', 'goals', 'highlights', 'football', 'soccer', 'Premier League', 'epl', 'Premier League goals', 'epl goals', 'Premier League highlights', 'epl highlights', 'short', 'shorts', '#shorts', 'TikTok', 'football TikTok', 'soccer TikTok', 'football shorts', 'soccer shorts', 'football short', 'soccer short', 'Prem']",PT13S,616509,17583,60
18,e-E2azY_B5M,2023-06-09T15:00:34Z,HOW MUCH DO YOU KNOW ABOUT THE 2022/23 SEASON? | Premier League Wrapped,"['premier league', 'premier league highlights', 'premier league 2022/23', 'premier league general knowledge', 'premier league goals', 'premier league uncut', 'pl uncut', 'pl goals', 'pl', 'second fastest goal premier league', 'fastest goal premier league', 'premier league quiz', 'premier league general knowledge quiz', 'uncut', 'mk fray', 'alexbee official', 'ben black', 'elz the witch', 'ish everything', 'football', 'soccer']",PT26M18S,121411,2480,195
19,QXp5reCrkGc,2023-06-09T13:01:30Z,Best player? Best manager? End of season awards,"['Premier League end of season awards', 'PL end of season awards', 'end of season awards', 'awards', 'Premier League awards', 'PL awards', 'Best player', 'Best manager', 'Best signing', 'Biggest surprise', 'Michael Owen', 'Leon Osman', 'Owen Hargreaves', 'goals', 'highlights', 'football', 'soccer', 'Premier League', 'epl', 'Premier League goals', 'epl goals', 'Premier League highlights', 'epl highlights', 'short', 'shorts', '#shorts', 'TikTok', 'football TikTok', 'soccer TikTok', 'football shorts', 'soccer shorts', 'football short', 'soccer short']",PT49S,2481352,112042,1180
